pointid,grid_code,X,Y,directSolarSummer,directSolarWinter,rugged_clip,jaxa_dem,NEW_jaxa_clip,Slope_NEW_DEM,Aspect_NEW_DEM,Current_Bio_1,Current_Bio12,Current_YFRW_SDM
197,0.6000000,495744.914399996399879,-3438949.521800000220537,407.1187744,122.2478180,17.6351929,550,545,12.8422251,276.1554871,17.8081245,261.0000000,0.660032903450470
198,0.0000000,495775.835600003600121,-3438949.521800000220537,416.7082214,135.1150208,19.1311264,557,553,13.4128132,290.6535950,17.8081245,261.0000000,0.660032903450470
199,0.0000000,495435.702399998903275,-3438980.442900000140071,408.9998779,176.9400024,27.2396774,586,577,19.7324047,357.6231689,17.8081245,261.0000000,0.660032903450470
200,0.0000000,495466.623599998652935,-3438980.442900000140071,408.6265259,171.4906006,29.6310654,573,576,20.7660923,22.3404942,17.8081245,261.0000000,0.660032903450470
201,0.0000000,495528.465999998152256,-3438980.442900000140071,413.1316833,162.2033081,24.3104916,570,563,17.7867661,18.8740654,17.8081245,261.0000000,0.660032903450470
202,0.0000000,495559.387199997901917,-3438980.442900000140071,412.7160645,156.4140320,22.1359444,563,561,16.3651562,24.6727123,17.8081245,261.0000000,0.660032903450470
203,1.0000000,495744.914399996399879,-3438980.442900000140071,396.0987549,116.6228104,20.8326664,552,545,15.0668421,275.0577698,17.8081245,261.0000000,0.660032903450470
204,0.2500000,495775.835600003600121,-3438980.442900000140071,411.4108887,127.1176376,27.1845551,561,557,18.6359062,285.1997375,17.8081245,261.0000000,0.660032903450470
205,0.0000000,495806.756800003349781,-3438980.442900000140071,417.6957092,162.7562866,23.0000000,568,565,14.8375082,315.9001465,17.8081245,261.0000000,0.660032903450470
206,0.0000000,495435.702399998903275,-3439011.364099999889731,409.3705139,175.1965179,31.7804966,598,590,21.3121643,2.9568436,17.8081245,261.0000000,0.660032903450470
207,0.0000000,495466.623599998652935,-3439011.364099999889731,408.9097290,171.6362305,32.7719383,588,587,21.9504395,23.5303612,17.8081245,261.0000000,0.660032903450470
208,0.0000000,495497.544799998402596,-3439011.364099999889731,410.9538879,172.3933258,31.7017345,584,578,21.3622990,25.8739243,17.8081245,261.0000000,0.660032903450470
209,0.0000000,495528.465999998152256,-3439011.364099999889731,410.8399963,163.5681152,28.8270702,578,575,19.6817570,20.4985428,17.8081245,261.0000000,0.660032903450470
210,0.5000000,495775.835600003600121,-3439011.364099999889731,401.4382324,116.9147339,32.6955643,563,558,23.0774040,274.9316406,17.8081245,261.0000000,0.660032903450470
211,0.0000000,495806.756800003349781,-3439011.364099999889731,417.3207092,158.7835083,29.7489491,575,572,17.7509193,295.4320984,17.8081245,261.0000000,0.660032903450470
212,0.1428571,495806.756800003349781,-3439042.285299999639392,416.0560913,148.9814453,35.6791267,586,575,21.7006168,283.3812561,17.8081245,261.0000000,0.660032903450470
213,2.0000000,495775.835600003600121,-3439073.206499999389052,379.0186768,103.7098923,45.1552887,562,557,29.0278378,270.3003540,17.8081245,261.0000000,0.660032903450470
214,1.0000000,495806.756800003349781,-3439073.206499999389052,411.9323120,128.4381714,43.2087936,591,581,23.4367294,274.9799500,17.8081245,261.0000000,0.660032903450470
215,0.1428571,495837.678000003099442,-3439073.206499999389052,420.3010254,138.2843628,21.2367611,593,590,8.8364573,298.8457947,17.8081245,261.0000000,0.660032903450470
216,0.0000000,495868.599200002849102,-3439073.206499999389052,420.7231140,150.4877625,16.3707047,591,592,6.1560941,5.7537575,17.8081245,261.0000000,0.660032903450470
217,11.5000000,495775.835600003600121,-3439104.127699999138713,364.8998108,94.2115936,43.9431458,562,558,27.7908630,262.7262878,17.8081245,261.0000000,0.660032903450470
